Page,IliadLine
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.70
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.73
urn:cite2:hmt:msApages.v1:52v,urn:cts:greekLit:tlg0012.tlg001.msA:4.82
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.85
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.93
urn:cite2:hmt:msApages.v1:53r,urn:cts:greekLit:tlg0012.tlg001.msA:4.104
urn:cite2:hmt:msApages.v1:54r,urn:cts:greekLit:tlg0012.tlg001.msA:4.155
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.184
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.189
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.192
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.198
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.204
urn:cite2:hmt:msApages.v1:55r,urn:cts:greekLit:tlg0012.tlg001.msA:4.208
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.234
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.240
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.242
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.250
urn:cite2:hmt:msApages.v1:56r,urn:cts:greekLit:tlg0012.tlg001.msA:4.257
urn:cite2:hmt:msApages.v1:56v,urn:cts:greekLit:tlg0012.tlg001.msA:4.266
urn:cite2:hmt:msApages.v1:56v,urn:cts:greekLit:tlg0012.tlg001.msA:4.272
urn:cite2:hmt:msApages.v1:57r,urn:cts:greekLit:tlg0012.tlg001.msA:4.285
urn:cite2:hmt:msApages.v1:57r,urn:cts:greekLit:tlg0012.tlg001.msA:4.292
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.313
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.318
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.326
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.338
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.350
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.358
urn:cite2:hmt:msApages.v1:58v,urn:cts:greekLit:tlg0012.tlg001.msA:4.364
urn:cite2:hmt:msApages.v1:58v,urn:cts:greekLit:tlg0012.tlg001.msA:4.370
urn:cite2:hmt:msApages.v1:59r,urn:cts:greekLit:tlg0012.tlg001.msA:4.401
urn:cite2:hmt:msApages.v1:59r,urn:cts:greekLit:tlg0012.tlg001.msA:4.404
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.412
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.419
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.422
urn:cite2:hmt:msApages.v1:61v,urn:cts:greekLit:tlg0012.tlg001.msA:4.509
urn:cite2:hmt:msApages.v1:62r,urn:cts:greekLit:tlg0012.tlg001.msA:4.514
urn:cite2:hmt:msApages.v1:62v,urn:cts:greekLit:tlg0012.tlg001.msA:5.8
urn:cite2:hmt:msApages.v1:62v,urn:cts:greekLit:tlg0012.tlg001.msA:5.31
urn:cite2:hmt:msApages.v1:63r,urn:cts:greekLit:tlg0012.tlg001.msA:5.35
urn:cite2:hmt:msApages.v1:63r,urn:cts:greekLit:tlg0012.tlg001.msA:5.49
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.69
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.76
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.84
urn:cite2:hmt:msApages.v1:64r,urn:cts:greekLit:tlg0012.tlg001.msA:5.102
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.111
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.115
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.121
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.124
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.133
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.161
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.171
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.180
urn:cite2:hmt:msApages.v1:66v,urn:cts:greekLit:tlg0012.tlg001.msA:5.218
urn:cite2:hmt:msApages.v1:66v,urn:cts:greekLit:tlg0012.tlg001.msA:5.230
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.239
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.243
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.252
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.277
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.280
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.284
urn:cite2:hmt:msApages.v1:68r,urn:cts:greekLit:tlg0012.tlg001.msA:5.287
urn:cite2:hmt:msApages.v1:68r,urn:cts:greekLit:tlg0012.tlg001.msA:5.290
urn:cite2:hmt:msApages.v1:75r,urn:cts:greekLit:tlg0012.tlg001.msA:5.655
urn:cite2:hmt:msApages.v1:75v,urn:cts:greekLit:tlg0012.tlg001.msA:5.684
urn:cite2:hmt:msApages.v1:76r,urn:cts:greekLit:tlg0012.tlg001.msA:5.689
urn:cite2:hmt:msApages.v1:76r,urn:cts:greekLit:tlg0012.tlg001.msA:5.699
urn:cite2:hmt:msApages.v1:76v,urn:cts:greekLit:tlg0012.tlg001.msA:5.714
urn:cite2:hmt:msApages.v1:76v,urn:cts:greekLit:tlg0012.tlg001.msA:5.719
urn:cite2:hmt:msApages.v1:77r,urn:cts:greekLit:tlg0012.tlg001.msA:5.757
urn:cite2:hmt:msApages.v1:77v,urn:cts:greekLit:tlg0012.tlg001.msA:5.765
urn:cite2:hmt:msApages.v1:77v,urn:cts:greekLit:tlg0012.tlg001.msA:5.767
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.787
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.792
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.800
urn:cite2:hmt:msApages.v1:78v,urn:cts:greekLit:tlg0012.tlg001.msA:5.815
urn:cite2:hmt:msApages.v1:78v,urn:cts:greekLit:tlg0012.tlg001.msA:5.826
urn:cite2:hmt:msApages.v1:78v,urn:cts:greekLit:tlg0012.tlg001.msA:5.835
urn:cite2:hmt:msApages.v1:79v,urn:cts:greekLit:tlg0012.tlg001.msA:5.872
urn:cite2:hmt:msApages.v1:80r,urn:cts:greekLit:tlg0012.tlg001.msA:5.888
urn:cite2:hmt:msApages.v1:80r,urn:cts:greekLit:tlg0012.tlg001.msA:5.899
urn:cite2:hmt:msApages.v1:81r,urn:cts:greekLit:tlg0012.tlg001.msA:6.46
urn:cite2:hmt:msApages.v1:81v,urn:cts:greekLit:tlg0012.tlg001.msA:6.55
urn:cite2:hmt:msApages.v1:81v,urn:cts:greekLit:tlg0012.tlg001.msA:6.61
urn:cite2:hmt:msApages.v1:81v,urn:cts:greekLit:tlg0012.tlg001.msA:6.67
urn:cite2:hmt:msApages.v1:81v,urn:cts:greekLit:tlg0012.tlg001.msA:6.72
urn:cite2:hmt:msApages.v1:82r,urn:cts:greekLit:tlg0012.tlg001.msA:6.77
urn:cite2:hmt:msApages.v1:82v,urn:cts:greekLit:tlg0012.tlg001.msA:6.102
urn:cite2:hmt:msApages.v1:82v,urn:cts:greekLit:tlg0012.tlg001.msA:6.111
urn:cite2:hmt:msApages.v1:82v,urn:cts:greekLit:tlg0012.tlg001.msA:6.116
urn:cite2:hmt:msApages.v1:82v,urn:cts:greekLit:tlg0012.tlg001.msA:6.123
urn:cite2:hmt:msApages.v1:83r,urn:cts:greekLit:tlg0012.tlg001.msA:6.145
urn:cite2:hmt:msApages.v1:84v,urn:cts:greekLit:tlg0012.tlg001.msA:6.212
urn:cite2:hmt:msApages.v1:84v,urn:cts:greekLit:tlg0012.tlg001.msA:6.215
urn:cite2:hmt:msApages.v1:85r,urn:cts:greekLit:tlg0012.tlg001.msA:6.232
urn:cite2:hmt:msApages.v1:85r,urn:cts:greekLit:tlg0012.tlg001.msA:6.237
urn:cite2:hmt:msApages.v1:85r,urn:cts:greekLit:tlg0012.tlg001.msA:6.254
urn:cite2:hmt:msApages.v1:85v,urn:cts:greekLit:tlg0012.tlg001.msA:6.264
urn:cite2:hmt:msApages.v1:86r,urn:cts:greekLit:tlg0012.tlg001.msA:6.286
urn:cite2:hmt:msApages.v1:86r,urn:cts:greekLit:tlg0012.tlg001.msA:6.305
urn:cite2:hmt:msApages.v1:86v,urn:cts:greekLit:tlg0012.tlg001.msA:6.311
urn:cite2:hmt:msApages.v1:86v,urn:cts:greekLit:tlg0012.tlg001.msA:6.326
urn:cite2:hmt:msApages.v1:87r,urn:cts:greekLit:tlg0012.tlg001.msA:6.333
urn:cite2:hmt:msApages.v1:87r,urn:cts:greekLit:tlg0012.tlg001.msA:6.344
urn:cite2:hmt:msApages.v1:87v,urn:cts:greekLit:tlg0012.tlg001.msA:6.360
urn:cite2:hmt:msApages.v1:87v,urn:cts:greekLit:tlg0012.tlg001.msA:6.369
urn:cite2:hmt:msApages.v1:87v,urn:cts:greekLit:tlg0012.tlg001.msA:6.376
urn:cite2:hmt:msApages.v1:88r,urn:cts:greekLit:tlg0012.tlg001.msA:6.391
urn:cite2:hmt:msApages.v1:88v,urn:cts:greekLit:tlg0012.tlg001.msA:6.408
urn:cite2:hmt:msApages.v1:89r,urn:cts:greekLit:tlg0012.tlg001.msA:6.442
urn:cite2:hmt:msApages.v1:89v,urn:cts:greekLit:tlg0012.tlg001.msA:6.467
urn:cite2:hmt:msApages.v1:89v,urn:cts:greekLit:tlg0012.tlg001.msA:6.477
urn:cite2:hmt:msApages.v1:90r,urn:cts:greekLit:tlg0012.tlg001.msA:6.483
urn:cite2:hmt:msApages.v1:90r,urn:cts:greekLit:tlg0012.tlg001.msA:6.487
urn:cite2:hmt:msApages.v1:90r,urn:cts:greekLit:tlg0012.tlg001.msA:6.495
urn:cite2:hmt:msApages.v1:90v,urn:cts:greekLit:tlg0012.tlg001.msA:6.521
urn:cite2:hmt:msApages.v1:91r,urn:cts:greekLit:tlg0012.tlg001.msA:7.4
urn:cite2:hmt:msApages.v1:91r,urn:cts:greekLit:tlg0012.tlg001.msA:7.24
urn:cite2:hmt:msApages.v1:91v,urn:cts:greekLit:tlg0012.tlg001.msA:7.34
urn:cite2:hmt:msApages.v1:92r,urn:cts:greekLit:tlg0012.tlg001.msA:7.54
urn:cite2:hmt:msApages.v1:92r,urn:cts:greekLit:tlg0012.tlg001.msA:7.67
urn:cite2:hmt:msApages.v1:92v,urn:cts:greekLit:tlg0012.tlg001.msA:7.91
urn:cite2:hmt:msApages.v1:92v,urn:cts:greekLit:tlg0012.tlg001.msA:7.96
urn:cite2:hmt:msApages.v1:93r,urn:cts:greekLit:tlg0012.tlg001.msA:7.103
urn:cite2:hmt:msApages.v1:93r,urn:cts:greekLit:tlg0012.tlg001.msA:7.109
urn:cite2:hmt:msApages.v1:93r,urn:cts:greekLit:tlg0012.tlg001.msA:7.120
urn:cite2:hmt:msApages.v1:93r,urn:cts:greekLit:tlg0012.tlg001.msA:7.124
urn:cite2:hmt:msApages.v1:94r,urn:cts:greekLit:tlg0012.tlg001.msA:7.161
urn:cite2:hmt:msApages.v1:94r,urn:cts:greekLit:tlg0012.tlg001.msA:7.171
urn:cite2:hmt:msApages.v1:94r,urn:cts:greekLit:tlg0012.tlg001.msA:7.175
urn:cite2:hmt:msApages.v1:94v,urn:cts:greekLit:tlg0012.tlg001.msA:7.179
urn:cite2:hmt:msApages.v1:94v,urn:cts:greekLit:tlg0012.tlg001.msA:7.181
urn:cite2:hmt:msApages.v1:94v,urn:cts:greekLit:tlg0012.tlg001.msA:7.191
urn:cite2:hmt:msApages.v1:94v,urn:cts:greekLit:tlg0012.tlg001.msA:7.200
urn:cite2:hmt:msApages.v1:95r,urn:cts:greekLit:tlg0012.tlg001.msA:7.206
urn:cite2:hmt:msApages.v1:95v,urn:cts:greekLit:tlg0012.tlg001.msA:7.226
urn:cite2:hmt:msApages.v1:95v,urn:cts:greekLit:tlg0012.tlg001.msA:7.235
urn:cite2:hmt:msApages.v1:95v,urn:cts:greekLit:tlg0012.tlg001.msA:7.244
urn:cite2:hmt:msApages.v1:96v,urn:cts:greekLit:tlg0012.tlg001.msA:7.279
urn:cite2:hmt:msApages.v1:96v,urn:cts:greekLit:tlg0012.tlg001.msA:7.288
urn:cite2:hmt:msApages.v1:97r,urn:cts:greekLit:tlg0012.tlg001.msA:7.303
urn:cite2:hmt:msApages.v1:97v,urn:cts:greekLit:tlg0012.tlg001.msA:7.327
urn:cite2:hmt:msApages.v1:97v,urn:cts:greekLit:tlg0012.tlg001.msA:7.344
urn:cite2:hmt:msApages.v1:97v,urn:cts:greekLit:tlg0012.tlg001.msA:7.348
urn:cite2:hmt:msApages.v1:98r,urn:cts:greekLit:tlg0012.tlg001.msA:7.354
urn:cite2:hmt:msApages.v1:98r,urn:cts:greekLit:tlg0012.tlg001.msA:7.357
urn:cite2:hmt:msApages.v1:98r,urn:cts:greekLit:tlg0012.tlg001.msA:7.365
urn:cite2:hmt:msApages.v1:98r,urn:cts:greekLit:tlg0012.tlg001.msA:7.370
urn:cite2:hmt:msApages.v1:98v,urn:cts:greekLit:tlg0012.tlg001.msA:7.379
urn:cite2:hmt:msApages.v1:98v,urn:cts:greekLit:tlg0012.tlg001.msA:7.398
urn:cite2:hmt:msApages.v1:98v,urn:cts:greekLit:tlg0012.tlg001.msA:7.403
urn:cite2:hmt:msApages.v1:99r,urn:cts:greekLit:tlg0012.tlg001.msA:7.412
urn:cite2:hmt:msApages.v1:99v,urn:cts:greekLit:tlg0012.tlg001.msA:7.446
urn:cite2:hmt:msApages.v1:99v,urn:cts:greekLit:tlg0012.tlg001.msA:7.455
urn:cite2:hmt:msApages.v1:100v,urn:cts:greekLit:tlg0012.tlg001.msA:8.5
urn:cite2:hmt:msApages.v1:100v,urn:cts:greekLit:tlg0012.tlg001.msA:8.10
urn:cite2:hmt:msApages.v1:101r,urn:cts:greekLit:tlg0012.tlg001.msA:8.31
urn:cite2:hmt:msApages.v1:101v,urn:cts:greekLit:tlg0012.tlg001.msA:8.41
urn:cite2:hmt:msApages.v1:102v,urn:cts:greekLit:tlg0012.tlg001.msA:8.93
urn:cite2:hmt:msApages.v1:102v,urn:cts:greekLit:tlg0012.tlg001.msA:8.97
urn:cite2:hmt:msApages.v1:102v,urn:cts:greekLit:tlg0012.tlg001.msA:8.102
urn:cite2:hmt:msApages.v1:102v,urn:cts:greekLit:tlg0012.tlg001.msA:8.112
urn:cite2:hmt:msApages.v1:103r,urn:cts:greekLit:tlg0012.tlg001.msA:8.139
urn:cite2:hmt:msApages.v1:103v,urn:cts:greekLit:tlg0012.tlg001.msA:8.146
urn:cite2:hmt:msApages.v1:103v,urn:cts:greekLit:tlg0012.tlg001.msA:8.152
urn:cite2:hmt:msApages.v1:103v,urn:cts:greekLit:tlg0012.tlg001.msA:8.157
urn:cite2:hmt:msApages.v1:103v,urn:cts:greekLit:tlg0012.tlg001.msA:8.161
urn:cite2:hmt:msApages.v1:104r,urn:cts:greekLit:tlg0012.tlg001.msA:8.173
urn:cite2:hmt:msApages.v1:104r,urn:cts:greekLit:tlg0012.tlg001.msA:8.185
urn:cite2:hmt:msApages.v1:104v,urn:cts:greekLit:tlg0012.tlg001.msA:8.198
urn:cite2:hmt:msApages.v1:104v,urn:cts:greekLit:tlg0012.tlg001.msA:8.201
urn:cite2:hmt:msApages.v1:104v,urn:cts:greekLit:tlg0012.tlg001.msA:8.209
urn:cite2:hmt:msApages.v1:104v,urn:cts:greekLit:tlg0012.tlg001.msA:8.212
urn:cite2:hmt:msApages.v1:105r,urn:cts:greekLit:tlg0012.tlg001.msA:8.228
urn:cite2:hmt:msApages.v1:105r,urn:cts:greekLit:tlg0012.tlg001.msA:8.245
urn:cite2:hmt:msApages.v1:106r,urn:cts:greekLit:tlg0012.tlg001.msA:8.281
urn:cite2:hmt:msApages.v1:106v,urn:cts:greekLit:tlg0012.tlg001.msA:8.300
urn:cite2:hmt:msApages.v1:107v,urn:cts:greekLit:tlg0012.tlg001.msA:8.352
urn:cite2:hmt:msApages.v1:107v,urn:cts:greekLit:tlg0012.tlg001.msA:8.358
urn:cite2:hmt:msApages.v1:108r,urn:cts:greekLit:tlg0012.tlg001.msA:8.399
urn:cite2:hmt:msApages.v1:108v,urn:cts:greekLit:tlg0012.tlg001.msA:8.413
urn:cite2:hmt:msApages.v1:108v,urn:cts:greekLit:tlg0012.tlg001.msA:8.425
urn:cite2:hmt:msApages.v1:109r,urn:cts:greekLit:tlg0012.tlg001.msA:8.427
urn:cite2:hmt:msApages.v1:109r,urn:cts:greekLit:tlg0012.tlg001.msA:8.432
urn:cite2:hmt:msApages.v1:109r,urn:cts:greekLit:tlg0012.tlg001.msA:8.447
urn:cite2:hmt:msApages.v1:109v,urn:cts:greekLit:tlg0012.tlg001.msA:8.457
urn:cite2:hmt:msApages.v1:109v,urn:cts:greekLit:tlg0012.tlg001.msA:8.462
urn:cite2:hmt:msApages.v1:109v,urn:cts:greekLit:tlg0012.tlg001.msA:8.470
urn:cite2:hmt:msApages.v1:110r,urn:cts:greekLit:tlg0012.tlg001.msA:8.497
urn:cite2:hmt:msApages.v1:111r,urn:cts:greekLit:tlg0012.tlg001.msA:8.542
urn:cite2:hmt:msApages.v1:111v,urn:cts:greekLit:tlg0012.tlg001.msA:9.4
urn:cite2:hmt:msApages.v1:112r,urn:cts:greekLit:tlg0012.tlg001.msA:9.17
urn:cite2:hmt:msApages.v1:112r,urn:cts:greekLit:tlg0012.tlg001.msA:9.29
urn:cite2:hmt:msApages.v1:
