urn:cite2:hmt:msA.v1:Page,IliadLine
urn:cite2:hmt:msA.v1:12r,urn:cts:greekLit:tlg0012.tlg001:1.1-1.32
urn:cite2:hmt:msA.v1:12v,urn:cts:greekLit:tlg0012.tlg001:1.33-1.42
urn:cite2:hmt:msA.v1:12v,urn:cts:greekLit:tlg0012.tlg001:1.43-1.52
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.53-1.58
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.59-1.67
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.68-1.73
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.74-1.75
urn:cite2:hmt:msA.v1:13v,urn:cts:greekLit:tlg0012.tlg001:1.76-1.84
urn:cite2:hmt:msA.v1:13v,urn:cts:greekLit:tlg0012.tlg001:1.85-1.105
urn:cite2:hmt:msA.v1:14r,urn:cts:greekLit:tlg0012.tlg001:1.106-1.120
urn:cite2:hmt:msA.v1:14r,urn:cts:greekLit:tlg0012.tlg001:1.121-1.129
urn:cite2:hmt:msA.v1:14v,urn:cts:greekLit:tlg0012.tlg001:1.130-1.147
urn:cite2:hmt:msA.v1:14v,urn:cts:greekLit:tlg0012.tlg001:1.148-1.171
urn:cite2:hmt:msA.v1:15r,urn:cts:greekLit:tlg0012.tlg001:1.172-1.187
urn:cite2:hmt:msA.v1:15v,urn:cts:greekLit:tlg0012.tlg001:1.188-1.205
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.206-1.214
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.215-1.219
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.219-1.222
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.223-1.245
urn:cite2:hmt:msA.v1:16v,urn:cts:greekLit:tlg0012.tlg001:1.246-1.248
urn:cite2:hmt:msA.v1:16v,urn:cts:greekLit:tlg0012.tlg001:1.249-1.253
urn:cite2:hmt:msA.v1:17r,urn:cts:greekLit:tlg0012.tlg001:1.254-1.285
urn:cite2:hmt:msA.v1:17v,urn:cts:greekLit:tlg0012.tlg001:1.286-1.291
urn:cite2:hmt:msA.v1:17v,urn:cts:greekLit:tlg0012.tlg001:1.292-1.303
urn:cite2:hmt:msA.v1:18r,urn:cts:greekLit:tlg0012.tlg001:1.304-1.317
urn:cite2:hmt:msA.v1:18r,urn:cts:greekLit:tlg0012.tlg001:1.318-1.325
urn:cite2:hmt:msA.v1:18r,urn:cts:greekLit:tlg0012.tlg001:1.326-1.333
urn:cite2:hmt:msA.v1:18v,urn:cts:greekLit:tlg0012.tlg001:1.334-1.345
urn:cite2:hmt:msA.v1:18v,urn:cts:greekLit:tlg0012.tlg001:1.346-1.356
urn:cite2:hmt:msA.v1:19r,urn:cts:greekLit:tlg0012.tlg001:1.357-1.361
urn:cite2:hmt:msA.v1:19r,urn:cts:greekLit:tlg0012.tlg001:1.362-1.262
urn:cite2:hmt:msA.v1:19r,urn:cts:greekLit:tlg0012.tlg001:1.364-1.412
urn:cite2:hmt:msA.v1:20r,urn:cts:greekLit:tlg0012.tlg001:1.413-1.427
urn:cite2:hmt:msA.v1:20v,urn:cts:greekLit:tlg0012.tlg001:1.428-1.441
urn:cite2:hmt:msA.v1:20v,urn:cts:greekLit:tlg0012.tlg001:1.442-1.445
urn:cite2:hmt:msA.v1:20v,urn:cts:greekLit:tlg0012.tlg001:1.446-1.456
urn:cite2:hmt:msA.v1:21r,urn:cts:greekLit:tlg0012.tlg001:1.457-1.483
urn:cite2:hmt:msA.v1:21v,urn:cts:greekLit:tlg0012.tlg001:1.484-1.487
urn:cite2:hmt:msA.v1:21v,urn:cts:greekLit:tlg0012.tlg001:1.488-1.492
urn:cite2:hmt:msA.v1:21v,urn:cts:greekLit:tlg0012.tlg001:1.493-1.502
urn:cite2:hmt:msA.v1:22r,urn:cts:greekLit:tlg0012.tlg001:1.503-1.510
urn:cite2:hmt:msA.v1:22r,urn:cts:greekLit:tlg0012.tlg001:1.511-1.513
urn:cite2:hmt:msA.v1:22r,urn:cts:greekLit:tlg0012.tlg001:1.514-1.516
urn:cite2:hmt:msA.v1:22r,urn:cts:greekLit:tlg0012.tlg001:1.517-1.527
urn:cite2:hmt:msA.v1:22v,urn:cts:greekLit:tlg0012.tlg001:1.528-1.539
urn:cite2:hmt:msA.v1:22v,urn:cts:greekLit:tlg0012.tlg001:1.540-1.543
urn:cite2:hmt:msA.v1:22v,urn:cts:greekLit:tlg0012.tlg001:1.544-1.544
urn:cite2:hmt:msA.v1:22v,urn:cts:greekLit:tlg0012.tlg001:1.545-1.550
urn:cite2:hmt:msA.v1:22v,urn:cts:greekLit:tlg0012.tlg001:1.551-1.559
urn:cite2:hmt:msA.v1:23r,urn:cts:greekLit:tlg0012.tlg001:1.560-1.567
urn:cite2:hmt:msA.v1:23r,urn:cts:greekLit:tlg0012.tlg001:1.568-1.572
urn:cite2:hmt:msA.v1:23r,urn:cts:greekLit:tlg0012.tlg001:1.573-1.583
urn:cite2:hmt:msA.v1:23v,urn:cts:greekLit:tlg0012.tlg001:1.584-1.585
urn:cite2:hmt:msA.v1:23v,urn:cts:greekLit:tlg0012.tlg001:1.586-1.594
urn:cite2:hmt:msA.v1:23v,urn:cts:greekLit:tlg0012.tlg001:1.595-1.611
urn:cite2:hmt:msA.v1:24r,urn:cts:greekLit:tlg0012.tlg001:2.1-2.7
urn:cite2:hmt:msA.v1:24r,urn:cts:greekLit:tlg0012.tlg001:2.8-2.16
urn:cite2:hmt:msA.v1:24v,urn:cts:greekLit:tlg0012.tlg001:2.17-2.23
urn:cite2:hmt:msA.v1:24v,urn:cts:greekLit:tlg0012.tlg001:2.24-2.35
urn:cite2:hmt:msA.v1:24v,urn:cts:greekLit:tlg0012.tlg001:2.36-2.47
urn:cite2:hmt:msA.v1:25r,urn:cts:greekLit:tlg0012.tlg001:2.48-2.55
urn:cite2:hmt:msA.v1:25r,urn:cts:greekLit:tlg0012.tlg001:2.56-2.83
urn:cite2:hmt:msA.v1:25v,urn:cts:greekLit:tlg0012.tlg001:2.84-2.86
urn:cite2:hmt:msA.v1:26r,urn:cts:greekLit:tlg0012.tlg001:2.87-2.109
urn:cite2:hmt:msA.v1:26r,urn:cts:greekLit:tlg0012.tlg001:2.110-2.141
urn:cite2:hmt:msA.v1:27r,urn:cts:greekLit:tlg0012.tlg001:2.142-2.156
urn:cite2:hmt:msA.v1:27r,urn:cts:greekLit:tlg0012.tlg001:2.157-2.165
urn:cite2:hmt:msA.v1:27v,urn:cts:greekLit:tlg0012.tlg001:2.166-2.172
urn:cite2:hmt:msA.v1:27v,urn:cts:greekLit:tlg0012.tlg001:2.173-2.181
urn:cite2:hmt:msA.v1:27v,urn:cts:greekLit:tlg0012.tlg001:2.182-2.189
urn:cite2:hmt:msA.v1:28r,urn:cts:greekLit:tlg0012.tlg001:2.190-2.199
urn:cite2:hmt:msA.v1:28r,urn:cts:greekLit:tlg0012.tlg001:2.200-2.206
urn:cite2:hmt:msA.v1:28r,urn:cts:greekLit:tlg0012.tlg001:2.207-2.224
urn:cite2:hmt:msA.v1:28v,urn:cts:greekLit:tlg0012.tlg001:2.225-2.242
urn:cite2:hmt:msA.v1:29r,urn:cts:greekLit:tlg0012.tlg001:2.243-2.265
urn:cite2:hmt:msA.v1:29v,urn:cts:greekLit:tlg0012.tlg001:2.266-2.277
urn:cite2:hmt:msA.v1:29v,urn:cts:greekLit:tlg0012.tlg001:2.278-2.283
urn:cite2:hmt:msA.v1:29v,urn:cts:greekLit:tlg0012.tlg001:2.284-2.290
urn:cite2:hmt:msA.v1:30r,urn:cts:greekLit:tlg0012.tlg001:2.291-2.298
urn:cite2:hmt:msA.v1:30r,urn:cts:greekLit:tlg0012.tlg001:2.299-2.318
urn:cite2:hmt:msA.v1:30v,urn:cts:greekLit:tlg0012.tlg001:2.319-2.322
urn:cite2:hmt:msA.v1:30v,urn:cts:greekLit:tlg0012.tlg001:2.323-2.332
urn:cite2:hmt:msA.v1:30v,urn:cts:greekLit:tlg0012.tlg001:2.333-2.336
urn:cite2:hmt:msA.v1:30v,urn:cts:greekLit:tlg0012.tlg001:2.337-2.366
urn:cite2:hmt:msA.v1:31v,urn:cts:greekLit:tlg0012.tlg001:2.369-2.393
urn:cite2:hmt:msA.v1:32r,urn:cts:greekLit:tlg0012.tlg001:2.394-2.411
urn:cite2:hmt:msA.v1:32r,urn:cts:greekLit:tlg0012.tlg001:2.412-2.418
urn:cite2:hmt:msA.v1:32v,urn:cts:greekLit:tlg0012.tlg001:2.419-2.433
urn:cite2:hmt:msA.v1:32v,urn:cts:greekLit:tlg0012.tlg001:2.434-2.440
urn:cite2:hmt:msA.v1:33r,urn:cts:greekLit:tlg0012.tlg001:2.441-2.454
urn:cite2:hmt:msA.v1:33r,urn:cts:greekLit:tlg0012.tlg001:2.455-2.454
urn:cite2:hmt:msA.v1:33r,urn:cts:greekLit:tlg0012.tlg001:2.459-2.458
urn:cite2:hmt:msA.v1:33v,urn:cts:greekLit:tlg0012.tlg001:2.469-2.278
urn:cite2:hmt:msA.v1:33v,urn:cts:greekLit:tlg0012.tlg001:2.479-2.479
urn:cite2:hmt:msA.v1:33v,urn:cts:greekLit:tlg0012.tlg001:2.480-2.483
urn:cite2:hmt:msA.v1:33v,urn:cts:greekLit:tlg0012.tlg001:2.484-2.507
urn:cite2:hmt:msA.v1:34r,urn:cts:greekLit:tlg0012.tlg001:2.508-2.515
urn:cite2:hmt:msA.v1:34v,urn:cts:greekLit:tlg0012.tlg001:2.516-2.535
urn:cite2:hmt:msA.v1:34v,urn:cts:greekLit:tlg0012.tlg001:2.536-2.545
urn:cite2:hmt:msA.v1:35r,urn:cts:greekLit:tlg0012.tlg001:2.546-2.556
urn:cite2:hmt:msA.v1:35r,urn:cts:greekLit:tlg0012.tlg001:2.557-2.558
urn:cite2:hmt:msA.v1:35r,urn:cts:greekLit:tlg0012.tlg001:2.559-2.568
urn:cite2:hmt:msA.v1:35v,urn:cts:greekLit:tlg0012.tlg001:2.569-2.590
urn:cite2:hmt:msA.v1:35v,urn:cts:greekLit:tlg0012.tlg001:2.591-2.614
urn:cite2:hmt:msA.v1:36r,urn:cts:greekLit:tlg0012.tlg001:2.615-2.637
urn:cite2:hmt:msA.v1:36v,urn:cts:greekLit:tlg0012.tlg001:2.638-2.654
urn:cite2:hmt:msA.v1:37r,urn:cts:greekLit:tlg0012.tlg001:2.645-2.652
urn:cite2:hmt:msA.v1:37r,urn:cts:greekLit:tlg0012.tlg001:2.653-2.670
urn:cite2:hmt:msA.v1:37v,urn:cts:greekLit:tlg0012.tlg001:2.671-2.675
urn:cite2:hmt:msA.v1:37v,urn:cts:greekLit:tlg0012.tlg001:2.676-2.676
urn:cite2:hmt:msA.v1:37v,urn:cts:greekLit:tlg0012.tlg001:2.677-2.680
urn:cite2:hmt:msA.v1:37v,urn:cts:greekLit:tlg0012.tlg001:2.681-2.695
urn:cite2:hmt:msA.v1:38r,urn:cts:greekLit:tlg0012.tlg001:2.695-2.710
urn:cite2:hmt:msA.v1:38r,urn:cts:greekLit:tlg0012.tlg001:2.711-2.715
urn:cite2:hmt:msA.v1:38r,urn:cts:greekLit:tlg0012.tlg001:2.716-2.728
urn:cite2:hmt:msA.v1:38v,urn:cts:greekLit:tlg0012.tlg001:2.729-2.747
urn:cite2:hmt:msA.v1:39r,urn:cts:greekLit:tlg0012.tlg001:2.748-2.755
urn:cite2:hmt:msA.v1:39r,urn:cts:greekLit:tlg0012.tlg001:2.756-2.759
urn:cite2:hmt:msA.v1:39r,urn:cts:greekLit:tlg0012.tlg001:2.760-2.779
urn:cite2:hmt:msA.v1:39v,urn:cts:greekLit:tlg0012.tlg001:2.780-2.795
urn:cite2:hmt:msA.v1:40r,urn:cts:greekLit:tlg0012.tlg001:2.796-2.806
urn:cite2:hmt:msA.v1:40r,urn:cts:greekLit:tlg0012.tlg001:2.807-2.810
urn:cite2:hmt:msA.v1:40r,urn:cts:greekLit:tlg0012.tlg001:2.811-2.818
urn:cite2:hmt:msA.v1:40v,urn:cts:greekLit:tlg0012.tlg001:2.819-2.823
urn:cite2:hmt:msA.v1:40v,urn:cts:greekLit:tlg0012.tlg001:2.824-2.827
urn:cite2:hmt:msA.v1:40v,urn:cts:greekLit:tlg0012.tlg001:2.828-2.834
urn:cite2:hmt:msA.v1:40v,urn:cts:greekLit:tlg0012.tlg001:2.835-2.843
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.844-2.845
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.846-2.847
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.848-2.850
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.851-2.855
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.856-2.857
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.858-2.861
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.862-2.863
urn:cite2:hmt:msA.v1:41r,urn:cts:greekLit:tlg0012.tlg001:2.864-2.866
urn:cite2:hmt:msA.v1:41v,urn:cts:greekLit:tlg0012.tlg001:2.867-2.875
urn:cite2:hmt:msA.v1:41v,urn:cts:greekLit:tlg0012.tlg001:2.876-2.877
urn:cite2:hmt:msA.v1:42r,urn:cts:greekLit:tlg0012.tlg001:3.1-3.9
urn:cite2:hmt:msA.v1:42r,urn:cts:greekLit:tlg0012.tlg001:3.10-3.14
urn:cite2:hmt:msA.v1:42r,urn:cts:greekLit:tlg0012.tlg001:3.15-3.29
urn:cite2:hmt:msA.v1:42v,urn:cts:greekLit:tlg0012.tlg001:3.30-3.32
urn:cite2:hmt:msA.v1:42v,urn:cts:greekLit:tlg0012.tlg001:3.33-3.38
urn:cite2:hmt:msA.v1:42v,urn:cts:greekLit:tlg0012.tlg001:3.39-3.58
urn:cite2:hmt:msA.v1:43r,urn:cts:greekLit:tlg0012.tlg001:3.59-3.81
urn:cite2:hmt:msA.v1:43v,urn:cts:greekLit:tlg0012.tlg001:3.82-3.83
urn:cite2:hmt:msA.v1:43v,urn:cts:greekLit:tlg0012.tlg001:3.84-3.85
urn:cite2:hmt:msA.v1:43v,urn:cts:greekLit:tlg0012.tlg001:3.86-3.94
urn:cite2:hmt:msA.v1:43v,urn:cts:greekLit:tlg0012.tlg001:3.95-3.96
urn:cite2:hmt:msA.v1:43v,urn:cts:greekLit:tlg0012.tlg001:3.97-3.310
urn:cite2:hmt:msA.v1:44r,urn:cts:greekLit:tlg0012.tlg001:3.111-3.120
urn:cite2:hmt:msA.v1:44r,urn:cts:greekLit:tlg0012.tlg001:3.121-3.129
urn:cite2:hmt:msA.v1:44v,urn:cts:greekLit:tlg0012.tlg001:3.130-3.138
urn:cite2:hmt:msA.v1:44v,urn:cts:greekLit:tlg0012.tlg001:3.139-3.145
urn:cite2:hmt:msA.v1:44v,urn:cts:greekLit:tlg0012.tlg001:3.146-3.155
urn:cite2:hmt:msA.v1:45r,urn:cts:greekLit:tlg0012.tlg001:3.156-3.161
urn:cite2:hmt:msA.v1:45r,urn:cts:greekLit:tlg0012.tlg001:3.162-3.171
urn:cite2:hmt:msA.v1:45r,urn:cts:greekLit:tlg0012.tlg001:3.172-3.181
urn:cite2:hmt:msA.v1:45v,urn:cts:greekLit:tlg0012.tlg001:3.182-3.190
urn:cite2:hmt:msA.v1:45v,urn:cts:greekLit:tlg0012.tlg001:3.191-3.191
urn:cite2:hmt:msA.v1:45v,urn:cts:greekLit:tlg0012.tlg001:3.192-3.199
urn:cite2:hmt:msA.v1:45v,urn:cts:greekLit:tlg0012.tlg001:3.200-3.203
urn:cite2:hmt:msA.v1:46r,urn:cts:greekLit:tlg0012.tlg001:3.204-3.225
urn:cite2:hmt:msA.v1:46r,urn:cts:greekLit:tlg0012.tlg001:3.226-3.228
urn:cite2:hmt:msA.v1:46v,urn:cts:greekLit:tlg0012.tlg001:3.229-3.242
urn:cite2:hmt:msA.v1:46v,urn:cts:greekLit:tlg0012.tlg001:3.243-3.249
urn:cite2:hmt:msA.v1:46v,urn:cts:greekLit:tlg0012.tlg001:3.250-3.258
urn:cite2:hmt:msA.v1:47r,urn:cts:greekLit:tlg0012.tlg001:3.259-3.275
urn:cite2:hmt:msA.v1:47r,urn:cts:greekLit:tlg0012.tlg001:3.276-3.291
urn:cite2:hmt:msA.v1:47v,urn:cts:greekLit:tlg0012.tlg001:3.292-3.297
urn:cite2:hmt:msA.v1:47v,urn:cts:greekLit:tlg0012.tlg001:3.298-3.301
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.302-3.303
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.304-3.309
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.310-3.313
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.314-3.319
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.320-3.323
urn:cite2:hmt:msA.v1:48r,urn:cts:greekLit:tlg0012.tlg001:3.324-3.339
urn:cite2:hmt:msA.v1:48v,urn:cts:greekLit:tlg0012.tlg001:3.340-3.345
urn:cite2:hmt:msA.v1:48v,urn:cts:greekLit:tlg0012.tlg001:3.346-3.350
urn:cite2:hmt:msA.v1:48v,urn:cts:greekLit:tlg0012.tlg001:3.351-3.554
urn:cite2:hmt:msA.v1:49r,urn:cts:greekLit:tlg0012.tlg001:3.355-3.364
urn:cite2:hmt:msA.v1:49r,urn:cts:greekLit:tlg0012.tlg001:3.365-3.368
urn:cite2:hmt:msA.v1:49r,urn:cts:greekLit:tlg0012.tlg001:3.369-3.389
urn:cite2:hmt:msA.v1:49v,urn:cts:greekLit:tlg0012.tlg001:3.390-3.394
urn:cite2:hmt:msA.v1:49v,urn:cts:greekLit:tlg0012.tlg001:3.395-3.413
urn:cite2:hmt:msA.v1:50r,urn:cts:greekLit:tlg0012.tlg001:3.414-3.417
urn:cite2:hmt:msA.v1:50r,urn:cts:greekLit:tlg0012.tlg001:3.418-3.437
urn:cite2:hmt:msA.v1:50v,urn:cts:greekLit:tlg0012.tlg001:3.438-3.446
urn:cite2:hmt:msA.v1:50v,urn:cts:greekLit:tlg0012.tlg001:3.447-3.446
urn:cite2:hmt:msA.v1:51r,urn:cts:greekLit:tlg0012.tlg001:3.456-3.455
urn:cite2:hmt:msA.v1:51r,urn:cts:greekLit:tlg0012.tlg001:3.456-461
urn:cite2:hmt:msA.v1:51r,urn:cts:greekLit:tlg0012.tlg001:4.1-4.6
urn:cite2:hmt:msA.v1:51r,urn:cts:greekLit:tlg0012.tlg001:4.7-4.19
urn:cite2:hmt:msA.v1:51v,urn:cts:greekLit:tlg0012.tlg001:4.20-4.24
urn:cite2:hmt:msA.v1:51v,urn:cts:greekLit:tlg0012.tlg001:4.25-4.30
urn:cite2:hmt:msA.v1:51v,urn:cts:greekLit:tlg0012.tlg001:4.31-4.50
urn:cite2:hmt:msA.v1:52r,urn:cts:greekLit:tlg0012.tlg001:4.51-4.67
urn:cite2:hmt:msA.v1:52v,urn:cts:greekLit:tlg0012.tlg001:4.68-4.69
urn:cite2:hmt:msA.v1:52v,urn:cts:greekLit:tlg0012.tlg001:4.70-4.72
urn:cite2:hmt:msA.v1:52v,urn:cts:greekLit:tlg0012.tlg001:4.73-4.81
urn:cite2:hmt:msA.v1:52v,urn:cts:greekLit:tlg0012.tlg001:4.82-4.84
urn:cite2:hmt:msA.v1:53r,urn:cts:greekLit:tlg0012.tlg001:4.85-4.92
urn:cite2:hmt:msA.v1:53r,urn:cts:greekLit:tlg0012.tlg001:4.93-4.103
urn:cite2:hmt:msA.v1:53r,urn:cts:greekLit:tlg0012.tlg001:4.104-4.154
urn:cite2:hmt:msA.v1:54r,urn:cts:greekLit:tlg0012.tlg001:4.155-4.183
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.184-4.188
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.189-4.191
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.192-4.197
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.198-4.203
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.204-4.207
urn:cite2:hmt:msA.v1:55r,urn:cts:greekLit:tlg0012.tlg001:4.208-4.233
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.234-4.239
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.240-4.241
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.242-4.449
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.250-4.256
urn:cite2:hmt:msA.v1:56r,urn:cts:greekLit:tlg0012.tlg001:4.257-4.265
urn:cite2:hmt:msA.v1:56v,urn:cts:greekLit:tlg0012.tlg001:4.266-4.271
urn:cite2:hmt:msA.v1:56v,urn:cts:greekLit:tlg0012.tlg001:4.272-4.284
urn:cite2:hmt:msA.v1:57r,urn:cts:greekLit:tlg0012.tlg001:4.285-4.291
urn:cite2:hmt:msA.v1:57r,urn:cts:greekLit:tlg0012.tlg001:4.292-4.312
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.313-4.317
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.318-4.325
urn:cite2:hmt:msA.v1:57v,urn:cts:greekLit:tlg0012.tlg001:4.326-4.337
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.338-4.349
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.350-4.357
urn:cite2:hmt:msA.v1:58r,urn:cts:greekLit:tlg0012.tlg001:4.358-4.363
urn:cite2:hmt:msA.v1:58v,urn:cts:greekLit:tlg0012.tlg001:4.364-4.369
urn:cite2:hmt:msA.v1:58v,urn:cts:greekLit:tlg0012.tlg001:4.370-4.400
